,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__gamma,param_model__max_depth,param_model__min_child_weight,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.1575521469116211,0.04376728437716455,0.004060935974121094,0.0010856792402804988,0.6,0.5,3,1,0.6,"{'model__colsample_bytree': 0.6, 'model__gamma': 0.5, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__subsample': 0.6}",-421.2017781581065,-625.1406615079069,-679.5356094178705,-955.8179021715398,-398.6401121050373,-616.0672126720922,202.3799286015915,200,-5.043152173253066,-16.16165303933329,-30.795792055634262,-45.30813094346332,-54.47588212087678,-30.35692206651214,18.153501573065544
1,0.1533632755279541,0.04939881476207081,0.0040282726287841795,0.0012269725530945992,0.6,0.5,3,1,0.8,"{'model__colsample_bytree': 0.6, 'model__gamma': 0.5, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__subsample': 0.8}",-487.4381505255684,-630.6866558134764,-710.30871897947,-1301.2467373332743,-502.9017410887494,-726.5164007481078,298.9725453943524,352,-4.515127866065947,-16.16239052154842,-30.06300468011195,-43.78490194657083,-53.77076989361385,-29.6592389815822,17.863115887236262
2,0.15008945465087892,0.048524557934424985,0.0037345409393310545,0.0008635828253903316,0.6,0.5,3,1,1.0,"{'model__colsample_bytree': 0.6, 'model__gamma': 0.5, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__subsample': 1.0}",-416.2559626758163,-614.3953702252484,-708.2083728576342,-1080.3054910847354,-468.9819317553885,-657.6294257197645,235.3429392700614,272,-4.824368718326704,-15.116077428625985,-28.496806468005893,-44.51985770294893,-54.621816133973034,-29.515785290376108,18.29475843163846
3,0.13870534896850586,0.03997394066619202,0.004807376861572265,0.002297617027083893,0.6,0.5,3,5,0.6,"{'model__colsample_bytree': 0.6, 'model__gamma': 0.5, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__subsample': 0.6}",-372.68160022343255,-573.362932876898,-614.7313426758171,-906.0023339132356,-440.71536649663335,-581.4987152372034,184.3354202643708,112,-5.328385749263331,-17.005220945678836,-31.762490424503273,-46.341234983321094,-53.35059651466319,-30.757585723485942,17.832979799421135
4,0.1523287296295166,0.04394612254164633,0.006615638732910156,0.0023178079671329205,0.6,0.5,3,5,0.8,"{'model__colsample_bytree': 0.6, 'model__gamma': 0.5, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__subsample': 0.8}",-481.6813999251795,-689.0458748984598,-705.3236338258548,-1338.8877478835095,-498.0647600081975,-742.6006833082403,312.31159105196406,358,-5.230886250447156,-16.198297045805656,-30.129543429554747,-44.78475933493077,-54.53027330351698,-30.17475187285106,18.023226724013547
5,0.14495363235473632,0.044082813375820595,0.00414581298828125,0.0015994280083118618,0.6,0.5,3,5,1.0,"{'model__colsample_bytree': 0.6, 'model__gamma': 0.5, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__subsample': 1.0}",-454.5276146378826,-621.8332421172976,-755.5079976329048,-1099.542596149478,-506.8844506668056,-687.6591802408736,230.48396655080612,313,-5.586002974251555,-16.274900066111055,-29.345106318260424,-46.11104770961186,-54.13288316101581,-30.289988045850144,18.035475859171694
6,0.1426842212677002,0.04553018791990929,0.00366363525390625,0.001004076193114605,0.6,0.5,3,10,0.6,"{'model__colsample_bytree': 0.6, 'model__gamma': 0.5, 'model__max_depth': 3, 'model__min_child_weight': 10, 'model__subsample': 0.6}",-407.0953350935329,-623.6520950115888,-689.0517230288875,-1056.0594158923318,-428.3626826428115,-640.8442503338305,234.43981586858973,244,-6.249309465931407,-18.468403558997625,-34.56838979168114,-48.9550430714209,-57.96803594415305,-33.24183636643683,19.00999936818025
7,0.13921184539794923,0.052386673990108774,0.003998470306396484,0.0009721706047663319,0.6,0.5,3,10,0.8,"{'model__colsample_bytree': 0.6, 'model__gamma': 0.5, 'model__max_depth': 3, 'model__min_child_weight': 10, 'model__subsample': 0.8}",-458.98801166605176,-613.8525849769418,-688.7370096827402,-1263.8200739829504,-495.9752796599352,-704.2745919937239,291.56913836657753,325,-5.992281720055045,-17.83233530809049,-31.573551601211406,-45.78180554805335,-55.81488659727086,-31.398972154936228,18.069791402452367
8,0.14545440673828125,0.0480975555438215,0.006911230087280273,0.0028243512144126557,0.6,0.5,3,10,1.0,"{'model__colsample_bytree': 0.6, 'model__gamma': 0.5, 'model__max_depth': 3, 'model__min_child_weight': 10, 'model__subsample': 1.0}",-442.5912124550802,-662.8901284298389,-662.3487599898609,-1102.1289671631325,-463.98457969348783,-666.78872954628,237.04433542103354,285,-6.560354019909781,-17.747675667890107,-32.598251989060316,-45.39092626211503,-54.77211540627175,-31.413864669049396,17.58880675319054
9,0.22868962287902833,0.04143596680307783,0.0050087451934814455,0.0029853097668716545,0.6,0.5,4,1,0.6,"{'model__colsample_bytree': 0.6, 'model__gamma': 0.5, 'model__max_depth': 4, 'model__min_child_weight': 1, 'model__subsample': 0.6}",-529.7607734299651,-667.119589565037,-717.398760362764,-1068.1539421115906,-570.5768116984643,-710.6019754335642,190.83548404983065,331,-2.3910900102088974,-8.046077865900148,-18.67399305468328,-29.018065917419644,-37.83602032125112,-19.193049433892618,13.045470842756263
