stid,station_name,lat,lon,elev,begints,endts,iem_network\,county,COUNTYFP
IA1099,BUSSEY 3 WNW,41.2038,-92.8872,265.1636,1899-04-01,2017-12-20,IACLIMATE\,Marion,125
IA1724,COLUMBIA,41.1755,-93.1522,292.6441,2000-01-01,2022-12-31,IACLIMATE\,Marion,125
IA2055,DALLAS 2 NW,41.2472,-93.2658,235.87325,2000-01-01,2017-12-20,IACLIMATE\,Marion,125
IA4502,KNOXVILLE,41.32,-93.13,263.0,1893-01-01,2023-11-28,IACLIMATE\,Marion,125
IA4507,KNOXVILLE 3E,41.3002,-93.0458,224.22375,2000-01-01,2015-09-17,IACLIMATE\,Marion,125
IA6527,PELLA 1S,41.3761,-92.9202,227.70863,1898-01-01,2022-12-31,IACLIMATE\,Marion,125
IA6531,PELLA 4 WSW,41.36528,-92.98778,241.88441,2000-01-01,2012-06-20,IACLIMATE\,Marion,125
IA6965,RED ROCK DAM,41.36972,-92.98,214.5868,1984-01-01,1989-07-30,IACLIMATE\,Marion,125
IA2396,DUNBAR 2 NE,41.96667,-92.76667,299.5013,1934-03-01,1958-07-31,IACLIMATE\,Marshall,127
IA3239,GILMAN,41.878,-92.7786,314.8911,1899-04-01,2018-04-18,IACLIMATE\,Marshall,127
IA3712,HAVERHILL,41.95,-92.95,309.9889,1971-01-01,1994-12-31,IACLIMATE\,Marshall,127
IA5198,MARSHALLTOWN,42.07,-92.93,268.0,1893-01-01,,IACLIMATE\,Marshall,127
IA5193,MARSHALLTOWN 1,42.05,-92.9,271.49353,1948-04-01,1949-05-31,IACLIMATE\,Marshall,127
IA5206,MARSHALLTOWN #2,42.06667,-92.93333,274.02008,1948-01-01,1949-12-31,IACLIMATE\,Marshall,127
IA5200,MARSHALLTOWN 4 SE,42.0088,-92.8522,263.8034,2000-01-01,2017-12-20,IACLIMATE\,Marshall,127
IA5199,MARSHALLTOWN MUNICIPAL AP,42.11061,-92.91635,295.3512,1996-10-01,,IACLIMATE\,Marshall,127
IA6985,RHODES 3E,41.9172,-93.1358,308.01218,1972-01-01,2015-05-01,IACLIMATE\,Marshall,127
IA7925,STATE CENTER,42.01667,-93.16667,327.74957,1937-01-01,1951-06-30,IACLIMATE\,Marshall,127
IA3288,GLENWOOD,41.0516,-95.7491,323.41837,2000-07-01,2018-07-23,IACLIMATE\,Mills,129
IA3290,GLENWOOD,41.0,-95.77,289.0,1893-01-01,2008-11-30,IACLIMATE\,Mills,129
IA3293,GLENWOOD 5 ESE,41.01667,-95.66667,376.7493,1895-05-01,1970-03-17,IACLIMATE\,Mills,129
IA3295,GLENWOOD 8 SSE,40.93333,-95.68333,353.93115,1946-02-01,1972-03-31,IACLIMATE\,Mills,129
IA3675,HASTINGS 4NE,41.0772,-95.48,320.99078,2008-01-01,2022-12-31,IACLIMATE\,Mills,129
IA6440,PACIFIC JUNCTION,41.01667,-95.8,290.2488,1899-03-01,1915-07-31,IACLIMATE\,Mills,129
IA6945,RED OAK 10 SW,40.96667,-95.46667,347.74597,1924-10-01,1948-07-31,IACLIMATE\,Mills,129
IA8131,TABOR 6 NNW,40.96667,-95.71667,345.75397,1948-01-01,1951-09-30,IACLIMATE\,Mills,129
IA6305,OSAGE,43.28,-92.8,356.0,1893-01-01,,IACLIMATE\,Mitchell,131
IA7887,STACEYVILLE,43.45,-92.78333,368.74478,1941-06-01,1942-08-08,IACLIMATE\,Mitchell,131
IA7326,ST ANSGAR,43.3817,-92.9232,353.1264,1948-01-01,2022-12-31,IACLIMATE\,Mitchell,131
IA1277,CASTANA-EXP-FARM,42.07,-95.82,409.0,1948-04-01,2018-01-16,IACLIMATE\,Monona,133
IA3944,HORNICK 5S,42.1558,-96.083,321.4382,1948-01-01,1951-09-30,IACLIMATE\,Monona,133
IA4342,KENNEBEC,42.0727,-95.9955,342.1736,1950-05-01,2018-09-30,IACLIMATE\,Monona,133
IA5127,MAPLETON,42.15694,-95.80972,335.91824,1948-01-01,2017-12-20,IACLIMATE\,Monona,133
IA5123,MAPLETON NO. 2,42.1667,-95.7833,354.0,1937-11-01,,IACLIMATE\,Monona,133
IA6243,ONAWA,42.02,-96.1,320.0,1899-01-01,2011-11-15,IACLIMATE\,Monona,133
IA7774,SOLDIER,41.9811,-95.7769,343.68124,1948-01-01,1951-09-30,IACLIMATE\,Monona,133
IA8359,TURIN 4S,41.9644,-95.9725,314.00232,1972-01-01,2017-12-20,IACLIMATE\,Monona,133
IA8360,TURIN 4 SSW,41.9644,-95.9916,311.6765,1972-07-01,2017-12-15,IACLIMATE\,Monona,133
IA0112,ALBIA,41.03,-92.8,286.0,1894-01-01,2021-01-06,IACLIMATE\,Monroe,135
IA0116,ALBIA PASTURE IMP FARM,40.98333,-92.86667,301.96298,1956-01-01,1972-01-31,IACLIMATE\,Monroe,135
IA5290,MAXON,41.03333,-92.78333,277.0649,1893-01-01,1896-09-30,IACLIMATE\,Monroe,135
IA5383,MELROSE,40.98333,-93.05,282.7769,1899-02-01,1946-08-31,IACLIMATE\,Monroe,135
IA1537,CLARINDA TARKIO CREEK,40.93333,-95.16667,375.48727,1934-01-01,1942-11-30,IACLIMATE\,Montgomery,137
IA2630,ELLIOTT,41.15,-95.15,352.2485,1905-03-01,1915-10-31,IACLIMATE\,Montgomery,137
IA2678,EMERSON 4 ENE,41.03333,-95.31667,353.29086,1899-03-01,1971-12-31,IACLIMATE\,Montgomery,137
IAC007,Iowa - Southwest Climate Division,41.08095,-95.13795,367.128,1893-01-01,,IACLIMATE\,Montgomery,137
IA6941,READ OAK # 2,41.00861,-95.24139,313.87622,1948-01-01,2017-12-20,IACLIMATE\,Montgomery,137
IA6940,RED-OAK,41.0,-95.23,332.0,1897-01-01,,IACLIMATE\,Montgomery,137
IA8646,STANTON 4N,41.0458,-95.0869,386.48657,1948-08-01,1951-09-30,IACLIMATE\,Montgomery,137
IA8538,VILLISCA,40.93333,-94.98333,327.74426,1896-01-01,1904-02-29,IACLIMATE\,Montgomery,137
IA8540,VILLISCA NO. 2,40.93417,-94.97944,334.80136,2000-05-01,2011-01-09,IACLIMATE\,Montgomery,137
IA1737,CONESVILLE 3 NE,41.40917,-91.29,181.01627,2000-01-01,2017-05-17,IACLIMATE\,Muscatine,139
IA2805,FAIRPORT,41.43333,-90.91667,166.96175,1921-03-01,1941-11-30,IACLIMATE\,Muscatine,139
IA3022,FRUITLAND,41.35,-91.13333,168.213,1900-12-01,1938-10-31,IACLIMATE\,Muscatine,139
IA5837,MUSCATINE,41.4,-91.07,169.0,1935-01-01,,IACLIMATE\,Muscatine,139
IA5844,MUSCATINE 2N,41.4713,-91.0463,211.23839,1999-01-01,,IACLIMATE\,Muscatine,139
IA5847,MUSCATINE 6 N,41.5,-91.05,215.5046,1948-01-01,1950-02-22,IACLIMATE\,Muscatine,139
IA8856,WEST BRANCH,41.55,-91.35,213.99191,1897-07-01,1903-06-30,IACLIMATE\,Muscatine,139
IA3667,HARTLEY 3 S,43.15,-95.46667,445.49768,1945-01-01,1950-09-14,IACLIMATE\,O'Brien,141
IAC001,Iowa - Northwest Climate Division,43.02702,-95.49451,452.83087,1893-01-01,,IACLIMATE\,O'Brien,141
IA6520,PAULLINA,42.9841,-95.6897,429.48703,1954-01-01,1994-12-31,IACLIMATE\,O'Brien,141
IA6800,PRIMGHAR,43.08,-95.63,460.0,1895-04-01,,IACLIMATE\,O'Brien,141
IA7386,SANBORN,43.1817,-95.6603,465.0,1914-01-01,,IACLIMATE\,O'Brien,141
IA7594,Sheldon,43.1808,-95.8528,436.0,1899-03-01,2022-12-31,IACLIMATE\,O'Brien,141
IA7596,SHELDON 1 N,43.1949,-95.8494,420.97183,2000-01-01,2008-03-17,IACLIMATE\,O'Brien,141
IA6190,OCHEYEDAN,43.4144,-95.5313,470.88965,1967-01-01,2013-06-30,IACLIMATE\,Osceola,143
IA7664,SIBLEY-5-NNE,43.45,-95.72,488.0,1893-01-01,,IACLIMATE\,Osceola,143
IA1533,CLARINDA,40.72,-95.03,299.0,1893-01-01,,IACLIMATE\,Page,145
IA1535,CLARINDA 1 E,40.73861,-95.01306,295.89572,2000-01-01,2017-12-20,IACLIMATE\,Page,145
IA1708,COLLEGE SPRINGS,40.63333,-95.11667,339.02548,1896-03-01,1907-02-28,IACLIMATE\,Page,145
IA6062,NORTHBORO,40.6,-95.2,336.2366,1899-03-01,1919-09-30,IACLIMATE\,Page,145
IA6119,NORWICH EXPERIMENT FARM,40.75,-95.2,311.5122,1937-09-01,1970-03-31,IACLIMATE\,Page,145
IA7613,SHENANDOAH-1-NE,40.78,-95.35,292.0,1918-06-01,,IACLIMATE\,Page,145
IA2689,Emmetsburg,43.1,-94.68,374.74643,1893-01-01,,IACLIMATE\,Palo Alto,147
IA2697,EMMETSBURG 2 NW,43.1263,-94.7063,365.2227,2000-01-01,2017-12-20,IACLIMATE\,Palo Alto,147
IA7289,RUTHVEN,43.13333,-94.9,434.51254,1897-12-01,1904-11-30,IACLIMATE\,Palo Alto,147
IA0088,AKRON,42.8258,-96.5514,370.40237,1900-09-01,2022-04-12,IACLIMATE\,Plymouth,149
IA0089,AKRON 11E,42.83528,-96.34333,416.81088,2010-03-01,2013-01-28,IACLIMATE\,Plymouth,149
IA0940,BRUNSVILLE,42.8077,-96.2691,386.73718,2010-03-01,2011-08-31,IACLIMATE\,Plymouth,149
IA3877,HINTON 4 W,42.65,-96.53333,333.4989,1948-01-01,1951-09-30,IACLIMATE\,Plymouth,149
IAD001,Iowa Drought Region 1 - Northwest,42.864,-95.9464,421.0,1893-01-01,,IACLIMATE\,Plymouth,149
IA4202,JAMES 1 NE,42.5763,-96.3038,349.7084,1948-04-01,2017-12-20,IACLIMATE\,Plymouth,149
IA4735,LEMARS,42.8,-96.17,367.0,1896-01-01,,IACLIMATE\,Plymouth,149
IA5414,MERRILL,42.7213,-96.2402,353.06097,1907-05-01,2006-09-23,IACLIMATE\,Plymouth,149
IA5418,MERRILL 4 WSW,42.7,-96.33333,435.4805,1907-05-01,1977-12-31,IACLIMATE\,Plymouth,149
IA6975,REMSEN,42.8169,-95.9711,402.17532,1948-01-01,1951-09-30,IACLIMATE\,Plymouth,149
IA6976,REMSEN NO. 2,42.8105,-95.9752,408.33713,2010-03-01,2022-12-31,IACLIMATE\,Plymouth,149
IA7703,SIOUX CITY 8 N,42.58333,-96.43333,408.1705,1946-02-01,1983-03-31,IACLIMATE\,Plymouth,149
IA2960,FONDA,42.58333,-94.83333,364.23468,1896-06-01,1902-05-31,IACLIMATE\,Pocahontas,151
IA5136,MARATHON,42.9,-94.83333,396.5103,1926-10-01,1939-03-31,IACLIMATE\,Pocahontas,151
IA6698,PLOVER,42.9,-94.61667,363.7445,1896-06-01,1912-06-12,IACLIMATE\,Pocahontas,151
IA6719,POCAHONTAS,42.7,-94.67,375.0,1904-05-01,,IACLIMATE\,Pocahontas,151
IA0187,ALTOONA 4W,41.6561,-93.5458,256.0,2000-01-01,2017-03-29,IACLIMATE\,Polk,153
IA0241,Ankeny,41.68,-93.6,263.0,1950-04-01,2021-11-05,IACLIMATE\,Polk,153
IA0238,ANKENY 2 SE,41.703,-93.5811,288.81586,2000-01-01,2017-03-29,IACLIMATE\,Polk,153
IA2199,DES MOINES (63RD STREET),41.5872,-93.7033,250.53078,2005-01-01,2012-05-02,IACLIMATE\,Polk,153
IA2203,Des Moines Airport,41.53,-93.65,285.0,1878-08-01,,IACLIMATE\,Polk,153
IATDSM,Des Moines Area,41.53395,-93.65311,293.16656,1878-08-01,,IACLIMATE\,Polk,153
IA2210,DES MOINES MILLMAN,41.53333,-93.66667,259.94293,1896-03-01,1898-10-31,IACLIMATE\,Polk,153
IA2208,Des Moines SE 6th,41.5783,-93.6055,229.60814,1878-08-01,1973-12-31,IACLIMATE\,Polk,153
IA2201,DES MOINES SNOW,41.5394,-93.6575,283.2177,2004-08-01,2022-12-31,IACLIMATE\,Polk,153
IA2209,DES MOINES WSFO-JOHNSTON,41.7366,-93.7236,292.3032,1995-01-01,,IACLIMATE\,Polk,153
IA3455,GRIMES 3 E,41.6886,-93.735,247.58777,2000-01-01,2017-12-20,IACLIMATE\,Polk,153
IA7256,RUNNELLS 2SE,41.488,-93.3386,222.73616,2000-01-01,2007-01-20,IACLIMATE\,Polk,153
IA7425,SAYLORVILLE 3WNW,41.703,-93.6891,244.41586,2000-01-01,2017-12-20,IACLIMATE\,Polk,153
IA1245,CARSON 3NNE,41.2738,-95.4025,341.1667,1899-04-01,1951-09-30,IACLIMATE\,Pottawattamie,155
IA1889,COUNCIL BLUFFS 6 NE,41.31667,-95.81667,370.00638,1893-07-01,1965-07-31,IACLIMATE\,Pottawattamie,155
IA1888,COUNCIL BLUFFS 6 NNE,41.33333,-95.81667,400.50024,1948-04-01,1951-09-30,IACLIMATE\,Pottawattamie,155
IA3589,HANCOCK,41.39,-95.37139,333.49844,1905-06-01,2017-12-20,IACLIMATE\,Pottawattamie,155
IA3590,HANCOCK 7SE,41.3277,-95.2522,396.6788,2006-01-01,2008-10-09,IACLIMATE\,Pottawattamie,155
IAD004,Iowa Drought Region 4 - Southwest,41.318,-95.1752,378.0,1893-01-01,,IACLIMATE\,Pottawattamie,155
IA5552,MINEOLA 5 NW,41.17694,-95.76833,337.02634,1996-11-01,2002-12-31,IACLIMATE\,Pottawattamie,155
IA5880,NEOLA,41.45,-95.61667,336.23483,1896-01-01,1899-01-31,IACLIMATE\,Pottawattamie,155
IA6151,OAKLAND-2-E,41.32,-95.38,370.0,1919-01-01,,IACLIMATE\,Pottawattamie,155
IA8410,UNDERWOOD,41.3894,-95.6811,328.95853,2002-10-01,2022-12-31,IACLIMATE\,Pottawattamie,155
IA0933,BROOKLYN,41.7394,-92.44,275.82834,1976-01-01,2023-10-02,IACLIMATE\,Poweshiek,157
IA3473,GRINNELL-3-SW,41.72,-92.73,303.0,1893-01-01,,IACLIMATE\,Poweshiek,157
IA3475,GRINNELL NEAR,41.75,-92.71667,313.74374,1899-02-01,1906-03-31,IACLIMATE\,Poweshiek,157
IA3671,HARTWICK 4NW,41.8347,-92.3861,245.77956,2000-01-01,2017-12-20,IACLIMATE\,Poweshiek,157
IA5650,MONTEZUMA 1 W,41.58354,-92.54939,285.8799,1896-07-01,2022-12-31,IACLIMATE\,Poweshiek,157
IA0536,BEACONSFIELD,40.8236,-94.0439,360.0,1951-05-01,,IACLIMATE\,Ringgold,159
IA5769,MOUNT-AYR,40.7,-94.25,358.0,1893-01-01,,IACLIMATE\,Ringgold,159
IA8255,TINGLEY,40.85,-94.2,381.2273,1924-03-01,1956-06-30,IACLIMATE\,Ringgold,159
IA4569,LAKE VIEW,42.3,-95.05,377.0359,1938-08-01,1962-09-30,IACLIMATE\,Sac,161
IA6195,ODEBOLT 2,42.31667,-95.25,409.00107,1897-02-01,1963-12-31,IACLIMATE\,Sac,161
IA7312,SAC-CITY,42.43,-95.0,366.0,1893-01-01,,IACLIMATE\,Sac,161
IA2068,DAVENPORT,41.5,-90.63333,171.74239,1896-01-01,1948-03-31,IACLIMATE\,Scott,163
IA2071,DAVENPORT 2,41.55,-90.56667,201.24695,1922-09-01,1929-08-31,IACLIMATE\,Scott,163
IA2069,DAVENPORT LOCK & DAM 15,41.51667,-90.56667,168.24931,1953-03-01,1984-05-31,IACLIMATE\,Scott,163
IA2070,DAVENPORT WFO,41.61191,-90.58025,230.79309,2011-06-01,,IACLIMATE\,Scott,163
IA2236,DE WITT 4 S,41.7663,-90.5404,191.9752,2000-01-01,2022-04-12,IACLIMATE\,Scott,163
IA4700,LE CLAIRE,41.6,-90.35,211.75597,1893-01-01,1955-06-30,IACLIMATE\,Scott,163
IA3632,HARLAN,41.65,-95.32,378.0,1899-02-01,2020-12-31,IACLIMATE\,Shelby,165
IA4174,IRWIN 3 ESE,41.775,-95.1525,416.51056,1950-09-01,2008-06-08,IACLIMATE\,Shelby,165
IA6760,PORTSMOUTH,41.65,-95.51667,362.74875,1896-01-01,1898-04-20,IACLIMATE\,Shelby,165
IA7582,SHELBY,41.51139,-95.44056,369.3532,1950-10-01,2001-08-15,IACLIMATE\,Shelby,165
IA0181,ALTON,42.998,-96.0175,402.5945,1905-05-01,2017-12-20,IACLIMATE\,Sioux,167
IA3718,HAWARDEN,43.0,-96.48,367.0,1926-08-01,2020-03-31,IACLIMATE\,Sioux,167
IA5270,MATLOCK,43.25,-95.93333,424.0058,1916-04-01,1918-01-31,IACLIMATE\,Sioux,167
IA6273,ORANGE CITY,43.00056,-96.05389,431.91376,2010-06-01,2022-12-31,IACLIMATE\,Sioux,167
IA7152,ROCK VALLEY,43.2044,-96.3061,378.3306,1977-01-01,2022-12-31,IACLIMATE\,Sioux,167
IA7700,SIOUX CENTER 2 SE,43.05,-96.15,417.0,1899-05-01,,IACLIMATE\,Sioux,167
IA0199,AMES 3 N,42.0666,-93.6202,277.368,2010-01-01,2022-09-16,IACLIMATE\,Story,169
IA0205,AMES 3 SW,42.0,-93.65,304.7615,1893-01-01,1964-08-31,IACLIMATE\,Story,169
IA0203,AMES 5 SE,41.9519,-93.5655,264.7841,1900-01-01,,IACLIMATE\,Story,169
IA0209,AMES EXPERIMENT STATION,42.03471,-93.61994,293.061,1893-01-01,1896-12-31,IACLIMATE\,Story,169
IA0197,AMES MUNICIPAL AP,41.99045,-93.61852,281.3304,1996-10-01,,IACLIMATE\,Story,169
IA0210,AMES SOUTHEAST,41.95,-93.55,262.49765,1897-01-01,1899-12-31,IACLIMATE\,Story,169
IA1710,COLO,42.0169,-93.3188,317.30298,1964-09-01,2010-12-26,IACLIMATE\,Story,169
IAC005,Iowa - Central Climate Division,42.0411,-93.33529,317.0197,1893-01-01,,IACLIMATE\,Story,169
IA5295,MAXWELL,41.8875,-93.3919,270.0,2000-01-01,2022-12-31,IACLIMATE\,Story,169
IA5882,NEVADA,42.01667,-93.45,307.5017,1905-07-01,1907-09-30,IACLIMATE\,Story,169
IA7985,STORY CITY,42.1791,-93.5816,298.07755,2000-01-01,2022-12-31,IACLIMATE\,Story,169
IA9750,ZEARING,42.1669,-93.3097,334.81824,1904-04-01,2022-12-31,IACLIMATE\,Story,169
IA1005,BUCKINGHAM,42.25,-92.46667,291.00876,1899-07-01,1913-03-31,IACLIMATE\,Tama,171
IA1704,CLUTIER,42.08,-92.405,266.5015,1973-01-01,2022-12-31,IACLIMATE\,Tama,171
IA2555,ELBERON 3 S,41.9641,-92.3125,249.13388,2000-01-01,2017-12-20,IACLIMATE\,Tama,171
IA3120,GARWIN,42.09022,-92.6703,285.03714,1977-01-01,2022-12-31,IACLIMATE\,Tama,171
IA3278,GLADBROOK,42.18333,-92.71667,309.025,1897-02-01,1899-12-31,IACLIMATE\,Tama,171
IA3681,HAVEN 1 NE,41.8994,-92.4741,245.73055,2000-01-01,2017-12-20,IACLIMATE\,Tama,171
IA8296,TOLEDO,41.98,-92.58,286.0,1894-01-01,,IACLIMATE\,Tama,171
IA8315,TRAER,42.1865,-92.4722,285.09555,1948-01-01,2022-12-31,IACLIMATE\,Tama,171
IA0576,BEDFORD-1-NNW,40.68,-94.72,362.0,1898-09-01,2018-09-22,IACLIMATE\,Taylor,173
IA0745,BLOCKTON 1W,40.6188,-94.505,366.87607,1893-01-01,2018-07-05,IACLIMATE\,Taylor,173
IA4746,LENOX,40.8747,-94.5717,378.71765,1895-05-01,1951-09-30,IACLIMATE\,Taylor,173
IA0064,AFTON,41.03333,-94.2,377.5019,1894-01-01,1950-02-10,IACLIMATE\,Union,175
IA1962,Creston,41.0372,-94.3942,395.0,1905-04-01,,IACLIMATE\,Union,175
IA4926,LORIMOR,41.1247,-94.0513,379.45016,1950-01-01,2020-10-31,IACLIMATE\,Union,175
IA7717,SIOUX CITY HWY 77 BRG,42.5244,-96.4802,333.65173,2015-01-01,2021-10-28,IACLIMATE\,Union,175
IA0793,BONAPARTE 5 NE,40.76667,-91.76667,223.00163,1893-01-01,1939-03-31,IACLIMATE\,Van Buren,177
IA4389,KEOSAUQUA,40.72,-91.97,165.0,1893-01-01,,IACLIMATE\,Van Buren,177
IA4394,KEOSAUQUA 2,40.71667,-91.95,224.00095,1936-01-01,1976-06-30,IACLIMATE\,Van Buren,177
IA7955,STOCKPORT,40.83333,-91.83333,228.0,1901-09-01,1948-02-29,IACLIMATE\,Van Buren,177
IA1472,CHILLICOTHE,41.08333,-92.53333,208.93228,1899-03-01,1900-05-31,IACLIMATE\,Wapello,179
IA2541,EDDYVILLE,41.15,-92.63333,198.48366,1939-01-01,1984-07-31,IACLIMATE\,Wapello,179
IA2544,EDDYVILLE NO 2,41.1497,-92.6347,202.10359,2000-01-01,2017-12-20,IACLIMATE\,Wapello,179
IA2569,ELDON,40.91667,-92.21667,193.50514,1898-04-01,1903-04-30,IACLIMATE\,Wapello,179
IA6389,Ottumwa,41.1078,-92.4467,252.0,1896-01-01,,IACLIMATE\,Wapello,179
IA6391,OTTUMWA,41.01667,-92.43333,191.99838,1917-01-01,1964-12-31,IACLIMATE\,Wapello,179
IA6396,OTTUMWA,41.0108,-92.4116,192.18365,2000-01-01,2017-12-20,IACLIMATE\,Wapello,179
IA6392,OTTUMWA #1,41.0101,-92.5174,247.09497,2000-08-01,2018-06-21,IACLIMATE\,Wapello,179
IA6386,OTTUMWA 1 WSW,41.01667,-92.43333,191.99838,1894-01-01,1949-11-04,IACLIMATE\,Wapello,179
IA4063,INDIANOLA-2-SSW,41.37,-93.55,293.0,1893-01-01,2022-12-31,IACLIMATE\,Warren,181
IA4067,INDIANOLA 5 NNW,41.4247,-93.5869,243.72023,1942-09-01,2017-05-23,IACLIMATE\,Warren,181
IA4523,LACONA,41.18333,-93.36667,254.29797,1899-04-01,1937-10-31,IACLIMATE\,Warren,181
IA0910,BRIGHTON,41.17146,-91.82555,226.82718,1968-01-01,2021-07-06,IACLIMATE\,Washington,183
IA4280,KALONA 1 SSW,41.46667,-91.71667,226.49356,2000-01-01,2015-04-09,IACLIMATE\,Washington,183
IA8688,WASHINGTON,41.28,-91.68,227.0,1893-01-01,,IACLIMATE\,Washington,183
IA0149,Allerton,40.7036,-93.3633,334.5118,1902-06-01,,IACLIMATE\,Wayne,185
IA1651,CLIO 4 NW,40.7,-93.48333,321.44757,1992-01-01,1997-09-30,IACLIMATE\,Wayne,185
IA1848,CORYDON 8 W,40.75,-93.48333,334.7496,1903-02-01,1991-08-31,IACLIMATE\,Wayne,185
IA5517,MILLERTON,40.83333,-93.3,320.23395,1893-05-01,1951-02-28,IACLIMATE\,Wayne,185
IA6412,OVID,40.73333,-93.33333,324.42728,1896-01-01,1903-01-31,IACLIMATE\,Wayne,185
IA6820,PROMISE CITY 6 NW,40.7936,-93.1408,300.72638,1970-01-01,2013-11-30,IACLIMATE\,Wayne,185
IA7526,SEYMOUR,40.66667,-93.11667,314.7496,1896-01-01,1897-11-30,IACLIMATE\,Wayne,185
IA2999,FORT-DODGE,42.5,-94.2,298.0,1899-01-01,,IACLIMATE\,Webster,187
IA3003,FORT DODGE 4 NW,42.5286,-94.2566,324.435,2000-01-01,2017-12-20,IACLIMATE\,Webster,187
IA3623,HARCOURT 2ENE,42.2685,-94.1459,350.84308,1976-01-01,2019-01-26,IACLIMATE\,Webster,187
IAD002,Iowa Drought Region 2 - Northcentral,42.5905,-94.18,336.0,1893-01-01,,IACLIMATE\,Webster,187
IA6618,PIONEER,42.63333,-94.4,359.74893,1898-07-01,1900-10-31,IACLIMATE\,Webster,187
IA8147,TARA,42.5,-94.3,347.49173,1897-12-01,1899-09-30,IACLIMATE\,Webster,187
IA2977,FOREST-CITY,43.28,-93.63,390.0,1894-03-01,,IACLIMATE\,Winnebago,189
IA4557,LAKE MILLS,43.4177,-93.5347,389.22006,1955-04-01,2022-12-31,IACLIMATE\,Winnebago,189
IA1126,CALMAR NE,43.1876,-91.862,382.72714,2006-01-01,2022-12-31,IACLIMATE\,Winneshiek,191
IA2117,DECORAH 2,43.3033,-91.7963,279.07428,2007-01-01,2016-07-23,IACLIMATE\,Winneshiek,191
IA2110,DECORAH-2-N,43.32,-91.78,344.0,1893-01-01,,IACLIMATE\,Winneshiek,191
IA2112,DECORAH 2 S,43.28333,-91.78333,335.48526,1896-01-01,1950-10-31,IACLIMATE\,Winneshiek,191
IA7035,RIDGEWAY,43.36667,-92.0,382.00842,1898-03-01,1912-10-13,IACLIMATE\,Winneshiek,191
IA7855,SPILLVILLE,43.2052,-91.9535,326.70697,1948-01-01,2004-09-06,IACLIMATE\,Winneshiek,191
IA0262,ANTHON,42.38333,-95.86667,339.72165,1942-07-01,1945-12-31,IACLIMATE\,Woodbury,193
IA1838,CORRECTIONVILLE 1 SW,42.4686,-95.795,340.18082,1942-01-01,2016-04-26,IACLIMATE\,Woodbury,193
IA3946,HORNICK 1 E,42.2269,-96.0777,321.7777,2003-01-01,2015-11-29,IACLIMATE\,Woodbury,193
IA3900,HORNICK 4 NNE,42.28389,-96.05806,331.08533,1964-01-01,2022-12-31,IACLIMATE\,Woodbury,193
IA5823,MOVILLE,42.4916,-96.0688,362.42694,1948-01-01,1951-09-30,IACLIMATE\,Woodbury,193
IA6363,OTO,42.28333,-95.9,350.2426,1942-07-01,1954-11-30,IACLIMATE\,Woodbury,193
IA7712,SIOUX CITY,42.5,-96.4,364.48965,1889-05-01,1941-04-30,IACLIMATE\,Woodbury,193
IA7702,SIOUX CITY ANG,42.3963,-96.3777,332.12134,2000-01-01,,IACLIMATE\,Woodbury,193
IATSUX,Sioux City Area,42.39168,-96.37948,328.8499,1889-07-01,,IACLIMATE\,Woodbury,193
IA7713,SIOUX CITY PERRY CREEK,42.5355,-96.4108,347.97372,1946-02-01,2016-04-26,IACLIMATE\,Woodbury,193
IA7708,SIOUX-CITY-WSO-AP,42.4,-96.38,331.0,1889-07-01,,IACLIMATE\,Woodbury,193
IA7738,SLOAN,42.23333,-96.23333,321.7571,1942-01-01,1949-02-28,IACLIMATE\,Woodbury,193
IA3600,HANLONTOWN,43.31667,-93.35,374.75824,1902-10-01,1906-07-31,IACLIMATE\,Worth,195
IA6103,NORTHWOOD,43.45,-93.22,373.0,1896-04-01,,IACLIMATE\,Worth,195
IA0612,BELMOND,42.86667,-93.55,372.74463,1909-12-01,1946-01-31,IACLIMATE\,Wright,197
IA1541,CLARION,42.73,-93.75,353.0,1944-01-01,2021-12-31,IACLIMATE\,Wright,197
IA2896,FLORENCE,42.73333,-93.75,353.0,1904-04-01,1905-12-31,IACLIMATE\,Wright,197
