,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.013678598403930663,0.0021777674867321586,0.002724313735961914,0.0011926415287203816,1,10,"{'model__max_depth': 1, 'model__n_estimators': 10}",,,-312.29550216442215,-383.84689577358085,-216.12762507487912,,,1,-142.8403532049113,-191.82432356562563,-231.24521017732252,-245.60027854748714,-265.198365555533,-215.34170621017591,43.50563778051877
1,0.016988325119018554,0.006033080504540571,0.0018160820007324218,0.00036588937827712625,1,15,"{'model__max_depth': 1, 'model__n_estimators': 15}",,,-360.9359123169834,-398.1117309066104,-194.0796554039445,,,1,-145.6065814111897,-188.81557869433837,-234.67512070048883,-240.3483426772101,-254.81432306973608,-212.85198931059261,40.23140535826852
2,0.02131681442260742,0.00437663269927977,0.0020570278167724608,0.0008159731775882672,1,20,"{'model__max_depth': 1, 'model__n_estimators': 20}",,,-358.6931363564215,-373.62186456514826,-192.1069300407399,,,1,-140.7701340787724,-188.002931150995,-238.36308512427098,-240.59680538881113,-258.59062683074177,-213.26471651471826,43.18571897603066
3,0.027631139755249022,0.008039102512625806,0.0018050670623779297,0.0005547497349074615,1,25,"{'model__max_depth': 1, 'model__n_estimators': 25}",,,-356.3146329562489,-376.5795025451944,-194.71798898246388,,,1,-141.80623045860264,-187.84698438256635,-232.93252988872604,-240.0821397878476,-255.68221609610904,-211.6700201227703,41.58101104572544
4,0.02003326416015625,0.005961407881654526,0.0030384063720703125,0.0007271129861683524,2,10,"{'model__max_depth': 2, 'model__n_estimators': 10}",,,-240.7155128937387,-290.22082408306386,-228.18955836642098,,,1,-91.18175154678556,-135.34832285946013,-161.35737668700943,-157.44264931519962,-182.34125662335072,-145.53427140636109,30.99962660675626
5,0.02318706512451172,0.008054369388495458,0.003061389923095703,0.0016787765471791899,2,15,"{'model__max_depth': 2, 'model__n_estimators': 15}",,,-214.4392483315816,-276.41842584128307,-215.64708366796313,,,1,-89.33798052977843,-128.67953140848388,-155.81926823029832,-161.91273290683998,-177.06148244407544,-142.5621991038952,30.873741258337155
6,0.03365797996520996,0.007649469439963051,0.002060985565185547,0.0010298322503920156,2,20,"{'model__max_depth': 2, 'model__n_estimators': 20}",,,-227.52849343283816,-289.816575868317,-203.66041654748244,,,1,-89.85083405597345,-129.31195267660522,-157.07126654520647,-166.0218935810032,-175.64340336700326,-143.57987004515832,30.997145492283543
7,0.04399619102478027,0.011645759023804592,0.003298330307006836,0.001590968213766302,2,25,"{'model__max_depth': 2, 'model__n_estimators': 25}",,,-248.80935027484762,-296.7524661586092,-234.61925657089984,,,1,-89.38886137753234,-124.88945524233748,-159.19107413692285,-162.84148271897067,-177.86824392788623,-142.8358234807299,31.85479869337887
8,0.03830041885375977,0.016294084870643172,0.001607990264892578,0.0003083315714460125,5,10,"{'model__max_depth': 5, 'model__n_estimators': 10}",,,-227.07072859830234,-261.7639156761594,-159.65848211109923,,,1,-38.26491018338194,-43.171728607619414,-59.562206662909354,-65.44090676305652,-70.42894459207871,-55.37373936180919,12.54712257567147
9,0.046422910690307614,0.019709541517255656,0.002439403533935547,0.000881625775666946,5,15,"{'model__max_depth': 5, 'model__n_estimators': 15}",,,-181.5043146174727,-237.36840828147876,-177.32735669481377,,,1,-35.52000799435839,-46.08496646354542,-60.00657580354999,-59.29236255174007,-63.699791773012585,-52.92074091724129,10.549956154182333
10,0.05498824119567871,0.019795685108876627,0.0024577617645263673,0.0005213253606890772,5,20,"{'model__max_depth': 5, 'model__n_estimators': 20}",,,-214.64675389472822,-244.10832976082398,-178.1658215412126,,,1,-36.937365889813556,-42.94583088479104,-52.21325857085461,-58.43689012182559,-65.29375858110556,-51.165420809678075,10.233096925669967
11,0.062285423278808594,0.017953348338932147,0.001788759231567383,0.0002727595074488159,5,25,"{'model__max_depth': 5, 'model__n_estimators': 25}",,,-228.74761477602627,-251.30585722731533,-172.05804869094294,,,1,-31.52661623492583,-42.992271154988146,-54.46285571847352,-53.55912228433743,-62.53780874297063,-49.01573482713911,10.726708370403967
